Nom,Handle,Plateforme,Followers,Type contenu,Contact,Priorité,Statut,Date contact,Notes
MindSolution,@mindsolution.officiel,TikTok,50k-200k,MBTI pur - tous les 16 types,DM TikTok,⭐⭐⭐,À contacter,,Match parfait - niche MBTI FR
88 Le Druide,@88ledruide88,TikTok,10k-50k,MBTI + 4 couleurs + profils psycho,DM TikTok,⭐⭐⭐,À contacter,,MBTI spécialiste actif 2024-2025
Pierrick YAH,@PierrickYAH,YouTube,30k-80k,MBTI deep-dive - fonctions cognitives - célébrités,YouTube about,⭐⭐⭐,À contacter,,Meilleure chaîne MBTI FR YouTube
Les Lois du Zodiaque,@lesloisduzodiaque,Instagram,504000,Astrologie moderne - compatibilité - horoscope,DM Instagram,⭐⭐⭐,À contacter,,Plus grand compte astro FR - angle amour/compatibilité
Masha Sexplique,@mashasexplique,Instagram,354000,Psychologue/sexologue - couple - désir - relations,DM Instagram,⭐⭐⭐,À contacter,,Très grand compte - audience parfaite pour quiz vérité
Amal Tahir,@amaltahir + @amaltahirr,Instagram+TikTok,114k+11k,Love coach - relations toxiques - sexualité - podcast,DM Instagram,⭐⭐⭐,À contacter,,"Garce Therapy" podcast - overlap direct avec quiz infidélité
Marion Thélisson,@psy_thelisson,Instagram,167000,"Psychologue - ""dit ce que les autres pensent"" - relations",DM Instagram,⭐⭐⭐,À contacter,,Psychologie + self-discovery = match parfait
Sisters Astrologie,@sisters_astrologie,Instagram,160k-185k,Astrologie - mode - spiritualité - oracle,DM Instagram / agence,⭐⭐,À contacter,,Agence @agencesoniagagnon - audience upsell-minded
CosmicLab Astro,@cosmiclab_astro,Instagram,100000,Astrologie pour se comprendre - compatibilité,DM Instagram,⭐⭐,À contacter,,Angle auto-connaissance = aligné avec MBTI
Astrologie Signes,@astrologie.signes,Instagram,101000,Astrologie - horoscopes - signes,DM Instagram,⭐⭐,À contacter,,Large audience astro FR
Mademoiselle Lili,@mademoiselleliliastro,Instagram,42000,Astro Love - oracle - podcast - formatrice,DM Instagram,⭐⭐,À contacter,,"Série ""Astro Love"" - overlap direct"
Ton Astrologue,@ton_astrologue,TikTok,20k-100k,Astrologie amour - compatibilité - humour zodiac,DM TikTok,⭐⭐,À contacter,,Love/relations astro
Catherine La Psy,@catherine_la_psy,Instagram,95000,Psychologue + hypnothérapeute - couple - mental,DM Instagram,⭐⭐,À contacter,,Couple/relation psychologie
Militanpsy,@militanpsy,Instagram+TikTok,86k+22k,Psychologie féministe - couple - inégalités,DM Instagram,⭐⭐,À contacter,,Duo Mathilde + Loïc
Léa Wellness,@lea_wellness (approx),Instagram,191000,Éducation sexuelle - tabous - relations - corps,DM Instagram,⭐⭐,À contacter,,Intimité/relations = angle quiz vérité
Morgane Hevasia,@morganehevasia,Instagram+YouTube,82000,Coach identité - burnout - patterns relationnels,DM Instagram,⭐⭐,À contacter,,Self-discovery + burnout = quiz overlap
Héloïse Junier,@heloisejunier_psy,Instagram,81000,Psychologue développement - famille - auto-connaissance,DM Instagram,⭐,À contacter,,Medium fit - psycho autorité
Lambert Quentin,YouTube/Blog,YouTube,10k-30k,MBTI explications - types - fonctions,YouTube about,⭐⭐,À contacter,,"Cité ""meilleure ressource MBTI FR"""
Cyrus North,@CyrusNorth,YouTube,794000,Philosophie + dev perso - comprendre soi-même,YouTube about,⭐⭐,À contacter,,Grande audience - angle connaissance de soi
26 Mentality,@26mentality,TikTok,550000,Masculinité - séduction - relations,DM TikTok,⭐,À contacter,,Grande audience mais angle différent
David Laroche,@DavidLarocheFR,YouTube,886000,Dev perso N°1 FR - confiance - relations,Website,⭐,À contacter,,Très grande audience mais peu spécifique
Max Piccinini,@MaxPiccinini,YouTube,300k-500k,Dev perso - confiance - entrepreneuriat,Website,⭐,À contacter,,Reach important
Amélia Psychologue,@amelia.psychologue,Instagram,29000,Psychologue clinicienne - anxiété - ROCD - thérapie,DM Instagram,⭐⭐,À contacter,,Petit mais très engagé
Maryam Gadery,@maryamgadery,TikTok,n/a,Confiance en soi - dev perso,DM TikTok,⭐,À contacter,,À évaluer
Illan Castronovo,TikTok,TikTok,1500000,Séduction - confiance - relations,DM TikTok,⚠️ RISQUE,NE PAS CONTACTER,,Sous enquête judiciaire - risque image
